donee,program,amount,program_area,region,purpose,donee_url
43North,,"$250,000","Entrepreneurship & Economic Development, Livable Communities",Western New York,To support the prototyping and refinement of a strategic partnership project in connection with the Western New York-based startup competition.,http://www.43north.org/
Allegany County Community Opportunities and Rural Development (ACCORD),,"$100,000","Children & Youth,  Afterschool",Western New York,"To support ACCORD's essential programming, while developing alternative sources of long-term funding for programs.",http://www.accordcorp.org/index.cfm
Altarum Institute,,"$175,000",Caregivers,"Western New York, Southeast Michigan",To support the evaluation of caregiver grants to help shape the Foundation's grantmaking strategies.,https://altarum.org/
Alzheimer's Association - Greater Michigan Chapter,,"$240,000",Caregivers,Southeast Michigan,"To support informal and professional caregivers of older individuals with intellectual or developmental disabilities by funding the development of a ""train the trainer"" model and dispersing it to St. Clair, Livingston, Washtenaw and Monroe counties and other communities.",https://www.alz.org/gmc/
Ann Arbor Area Community Foundation,,"$35,500",Caregivers,Southeast Michigan,To support the Ann Arbor Area Community Foundation in gaining a deeper understanding of older adults and caregivers in Washtenaw County.,https://www.aaacf.org/
Ann Arbor SPARK,,"$100,000",Young Adults & Working Families,Southeast Michigan,To support plans for the American Center for Mobility at Willow Run.,http://www.annarborusa.org/
Aspen Institute: Project Play,,$1.05 million,"Children & Youth,  Youth Sports & Recreation","Western New York, Southeast Michigan","To support the continued investment in the expansion of quality youth sports opportunities in Western New York, Greater Rochester and Southeast Michigan.",https://www.aspenprojectplay.org/
Bing Youth Institute,,"$200,000","Children & Youth,  Afterschool",Southeast Michigan,"To support the Bing Youth Institute's BINGO (Boys Inspired through Nurturing, Growth and Opportunities) Mentoring Program in Detroit to bring together men of color serving as mentors to young high school men of color.",http://www.bingyouthinstitute.org/
Brian Moorman’s P.U.N.T Foundation,,"$15,215",Caregivers,Western New York,To support the Helping Hands program which provides direct  financial assistance to Western New York families dealing with the catastrophic effects of a pediatric cancer diagnosis.,http://puntfund.org/
Brookings Institution,,"$50,000",Livable Communities,"Western New York, Southeast Michigan",To support research on older industrial cities in the Metropolitan Policy Program,https://www.brookings.edu/research/older-industrial-cities/#01073
Buffalo Center for Arts & Technology,,"$150,000",Young Adults & Working Families,Western New York,To support the increased enrollment and job placement of adult participants in its medical coding and pharmacy technician training programs.,http://www.buffaloartstechcenter.org/
Albright-Knox,Buffalo Fine Arts Academy,$6 million,Special Opportunities,Western New York,"While the arts are not our Foundation's core funding areas, we could not pass up this once-in-a-lifetime opportunity to collaborate and leverage a historic gift to the Albright-Knox to advance this valuable community asset, and improve access for all residents.",https://www.albrightknox.org/
Buffalo Fine Arts Academy,,"$6,000,000",Livable Communities,Western New York,To support the AK360 capital campaign for the Albright-Knox Art Gallery to leverage a historic gift and advance a valuable community asset and improve access for all residents.,https://www.albrightknox.org
Challenger Miracle League of Greater Rochester,,"$488,000", Youth Sports & Recreation,Western New York,"To support the construction of a barrier-free field and pavilion and build out the organization's capacity to manage and maintain the Miracle Field Complex, located at Ridge Park Athletic Complex in Webster, NY.",http://rochestermiraclefield.org/
charitySTRONG,,"$225,000","Livable Communities, Nonprofit Support & Innovation",Western New York,"To establish, expand and operate innovative board matching and education programs throughout Western New York, including both Greater Buffalo and Rochester.",http://www.charitystrong.org/
Citizens Research Council of Michigan,,"$50,000",Livable Communities,Southeast Michigan,To support research and policy work of the Citizens Research Council.,https://crcmich.org/
"Community Connections of NY, Inc.",,"$75,000",Livable Communities,Western New York,To support the GetSET Capacity Building Initiative targeting nonprofit organizations in the Western New York area.,https://www.comconnectionsny.org/
Community Foundation for Greater Buffalo,,"$10,000",Children & Youth,Western New York,To support the creation of a Community Lead Action Plan which includes a comprehensive assessment for lead poisoning prevention.,https://www.cfgb.org/
Community Foundation for Greater Buffalo,,"$3,150,000",Children & Youth,Western New York,"To enhance the Ralph C. Wilson, Jr. Legacy Fund endowment for Youth Sports and Recreation.",https://www.cfgb.org/
Community Foundation for Greater Buffalo,,"$1,575,000",Caregivers,Western New York,"To enhance the Ralph C. Wilson, Jr. Legacy Fund endowment for Caregiving.",https://www.cfgb.org/
Community Foundation for Greater Buffalo,,$5.2 Million,Livable Communities,Western New York,"To establish the Ralph C. Wilson, Jr. Legacy Fund endowment for Design and Access.",https://www.cfgb.org
Community Foundation for Greater Buffalo,,$1.6 Million,Livable Communities,Western New York,"To enhance the current Ralph C. Wilson, Jr. Legacy Fund endowment for Community Assets.",https://www.cfgb.org/
Community Foundation for Greater Buffalo,,"$150,000",Livable Communities,Western New York,"To support administrative costs, which will encourage continued learning and strategizing aroundthe legacy endowment funds.",https://www.cfgb.org/
Community Foundation for Southeast Michigan,,$5.2 Million,Livable Communities,Southeast Michigan,"To establish the Ralph C. Wilson, Jr. Legacy Fund endowment for Design and Access.",https://cfsem.org/
Community Foundation for Southeast Michigan,,"$675,000","Children & Youth,  Early Childhood",Southeast Michigan,To support the implementation of PEDALS (Positive Emotional Development and Learning Skills) early childhood program in Southeast Michigan.,https://cfsem.org
Community Foundation for Southeast Michigan,,"$2,000,000",Children & Youth,Southeast Michigan,To support Phase Two of the Detroit Head Start Early Childhood Innovation Fund and the expansion of the Fund to the larger region.,https://cfsem.org/
Community Foundation for Southeast Michigan,,"$280,000",Children & Youth,"Western New York, Southeast Michigan","To support a scan of youth sports in both Southeast Michigan and Western New York to identify gaps in the youth sports landscape in both regions, as well as opportunities.",https://cfsem.org/
Community Foundation for Southeast Michigan,,"$3,150,000",Children & Youth,Southeast Michigan,"To enhance the Ralph C. Wilson, Jr. Legacy Fund endowment for Youth Sports and Recreation.",https://cfsem.org/
Community Foundation for Southeast Michigan,,"$1,575,000",Caregivers,Southeast Michigan,"To enhance the Ralph C. Wilson, Jr. Legacy Fund endowment for Caregiving.",https://cfsem.org/
Community Foundation for Southeast Michigan,,"$150,000",Livable Communities,Southeast Michigan,"To support administrative costs, which will encourage continued learning and strategizing around the legacy endowment funds.",https://cfsem.org
Community Foundation of Greater Flint,,$1 Million,"Children & Youth,  Early Childhood",Southeast Michigan,To support a partnership with the Flint Early Childhood Collaborative in exploring statewide policy opportunities and participating in a national evaluation on an early childhood education model.,https://www.cfgf.org/cfgf/
Council of Great Lakes Governors,,"$50,000","Livable Communities, Entrepreneurship & Economic Development","Western New York, Southeast Michigan",To provide sponsorship support for the Council of Great Lakes Governors' and Premiers' 2017 Leadership Summit.,http://gsgp.org/
Council of Michigan Foundations,,"$75,000",Livable Communities,Southeast Michigan,To support the work of Michigan’s Office of Foundation Liaison (OFL) building partnerships between philanthropy and government.,https://www.michiganfoundations.org
Council of Michigan Foundations,,"$60,000","Nonprofit Support & Innovation, Livable Communities",Southeast Michigan,"To support and expand Learning to Give, a K-12 program that teaches philanthropy as part of daily curriculum in Wayne County.",https://www.michiganfoundations.org/
Daemen College,,"$16,400","Children & Youth,  Early Childhood",Western New York,"To support the facilitation of parent focus group discussions, to inform the work of the WNY Early Childhood Funders Consortium.",https://www.daemen.edu
Detroit Economic Growth Association,,"$175,000","Livable Communities, Parks, Trails and Green Design",Southeast Michigan,To support the development of a Sustainability Action Agenda for the City of Detroit's new Office of Sustainability.,http://www.detroitmi.gov/government/departments-and-agencies/office-of-sustainability/mission-and-vision
Detroit Employment Solutions Corporation,,$1.5 million,Young Adults & Working Families,Southeast Michigan,To support the transformation of the A. Philip Randolph Technical Education Center into a state-of-the-art construction and skilled trades training facility for youth and adults in metro Detroit.,https://www.descmiworks.com/randolph-ctc-adult-classes/
Detroit Employment Solutions Corporation,,"$2,000,000",Young Adults & Working Families,Southeast Michigan,"To support the Grow Detroit’s Young Talent program to provide work experience, skills training and exposure to career pathways for Detroit youth.",https://www.descmiworks.com/
Detroit Employment Solutions Corporation,,"$2,000,000",Young Adults & Working Families,Southeast Michigan,"To support the Detroit Regional TechHire program to provide the region’s growing IT industry a local, diverse source of talent, while at the same time developing career pathways and employment opportunities to metro Detroiters of all skill levels.",https://www.descmiworks.com/
Detroit Food and Entrepreneurship Academy,,"$126,000","Children & Youth,  Afterschool",Southeast Michigan,"To expand the reach and depth of the Academy's afterschool and summer programs and long-term strategic planning for Small Batch, its revenue generating business.",http://detroitfoodacademy.com/
Detroit PAL,,"$575,000",Children & Youth,Southeast Michigan,"To provide support for staff and operational capacity to successfully transition the organization into a new and expanded facility, while continuing to provide quality service programs.",http://detroitpal.org/
